!!SBtab SBtabVersion=’1.0’	TableName=’K. brasiliensis SBTab Compound Table’	TableType=’Compound’
!ID	!Name	!Identifiers:kegg.compound	!Identifiers:bigg.metabolite	!Identifiers:biocyc	!StructureFormula
sbtabcomp322	Decanoyl-CoA	C05274	dcacoa		C31H54N7O17P3S
sbtabcomp323	N6-(1,2-Dicarboxyethyl)-AMP	C03794	dcamp		C14H18N5O11P
sbtabcomp324	dCDP	C00705	dcdp		C9H15N3O10P2
sbtabcomp325	dCMP	C00239	dcmp		C9H14N3O7P
sbtabcomp326	dCTP	C00458	dctp		C9H16N3O13P3
sbtabcomp327	2-trans-Dodecenoyl-CoA	C03221	dd2coa		C33H56N7O17P3S
sbtabcomp328	Dodecanoic acid	C02679	ddca		C12H24O2
sbtabcomp329	Dodecanoyl-[acyl-carrier protein]	C05223	ddcaACP		C12H23OSR
sbtabcomp330	Lauroyl-CoA	C01832	ddcacoa		C33H58N7O17P3S
sbtabcomp331	dGDP	C00361	dgdp		C10H15N5O10P2
sbtabcomp332	dGMP	C00362	dgmp		C10H14N5O7P
sbtabcomp333	Deoxyguanosine	C00330	dgsn		C10H13N5O4
sbtabcomp334	dGTP	C00286	dgtp		C10H16N5O13P3
sbtabcomp335	Glycerone	C00184	dha		C3H6O3
sbtabcomp336	Glycerone phosphate	C00111	dhap		C3H7O6P
sbtabcomp337	Dihydrobiopterin	C00268	dhbpt		C9H13N5O3
sbtabcomp338	Dehydroascorbate	C05422	dhdascb		C6H6O6
sbtabcomp339	Dihydrofolate	C00415	dhf		C19H21N7O6
sbtabcomp340	Dihydrolipoylprotein	C02972	dhlpro		C8H16NOS2R
sbtabcomp341	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	C04874	dhnpt		C9H13N5O4
sbtabcomp342	(S)-Dihydroorotate	C00337	dhor__S		C5H6N2O4
sbtabcomp343	Dihydropteroate	C00921	dhpt		C14H14N6O3
sbtabcomp344	Diacetyl	C00741	diact		C4H6O2
sbtabcomp345	dIDP	C01344	didp		C10H14N4O10P2
sbtabcomp346	Digalactosylceramide	C06126	digalside_hs		C31H56NO13R
sbtabcomp347	Deoxyinosine	C05512	din		C10H12N4O4
sbtabcomp348	dITP	C01345	ditp		C10H15N4O13P3
sbtabcomp349	6,7-Dimethyl-8-(D-ribityl)lumazine	C04332	dmlz		C13H18N4O6
sbtabcomp350	Dimethylallyl diphosphate	C00235	dmpp		C5H12O7P2
sbtabcomp351	DNA	C00039	dna		C10H17O8PR2(C5H8O5PR)n
sbtabcomp352	DNA 5-methylcytosine	C02967	dna5mtc		C10H16N3O7P(C5H8O5PR)n(C5H8O5PR)n
sbtabcomp353	Deamino-NAD+	C00857	dnad		C21H27N6O15P2
sbtabcomp354	Dolichyl diphosphate	C00621	doldp		C20H38O7P2(C5H8)n
sbtabcomp355	Dolichol	C00381	dolichol		C20H36O(C5H8)n
sbtabcomp356	Dolichyl phosphate	C00110	dolp		C20H37O4P(C5H8)n
sbtabcomp357	Dolichyl beta-D-glucosyl phosphate	C01246	dolpglc		C26H47O9P(C5H8)n
sbtabcomp358	Dopamine	C03758	dopa		C8H11NO2
sbtabcomp359	Dephospho-CoA	C00882	dpcoa		C21H35N7O13P2S
sbtabcomp360	Precorrin 2	C02463	dscl		C42H48N4O16
sbtabcomp361	Dethiobiotin	C01909	dtbt		C10H18N2O3
sbtabcomp362	dTDP	C00363	dtdp		C10H16N2O11P2
sbtabcomp363	dTMP	C00364	dtmp		C10H15N2O8P
sbtabcomp364	dTTP	C00459	dttp		C10H17N2O14P3
sbtabcomp365	dUDP	C01346	dudp		C9H14N2O11P2
sbtabcomp366	dUMP	C00365	dump		C9H13N2O8P
sbtabcomp367	dUTP	C00460	dutp		C9H15N2O14P3
sbtabcomp368	L-erythro-4-Hydroxyglutamate	C05947	e4hglu		C5H9NO5
sbtabcomp369	D-Erythrose 4-phosphate	C00279	e4p		C4H9O7P
sbtabcomp370	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate	C04666	eig3p		C6H11N2O6P
sbtabcomp371	Episterol	C15777	epist		C28H46O
sbtabcomp372	Epimelibiose	C05400	epm		C12H22O11
sbtabcomp373	Ergosterol	C01694	ergst		C28H44O
sbtabcomp374	Ethanolamine	C00189	etha		C2H7NO
sbtabcomp375	Ethanolamine phosphate	C00346	ethamp		C2H8NO4P
sbtabcomp376	Ethanol	C00469	etoh		C2H6O
sbtabcomp377	D-Fructose 6-phosphate	C00085	f6p		C6H13O9P
sbtabcomp378	beta-D-Fructose 6-phosphate	C05345	f6p_B		C6H13O9P
sbtabcomp379	FAD	C00016	fad		C27H33N9O15P2
sbtabcomp380	FADH2	C01352	fadh2		C27H35N9O15P2
sbtabcomp381	Formaldehyde	C00067	fald		CH2O
sbtabcomp382	L-Fuculose 1-phosphate	C01099	fc1p		C6H13O8P
sbtabcomp383	D-Fructose 1,6-bisphosphate	C00354	fdp		C6H14O12P2
sbtabcomp384	beta-D-Fructose 1,6-bisphosphate	C05378	fdp_B		C6H14O12P2
sbtabcomp385	Reduced ferredoxin	C00138	fdxrd		
sbtabcomp386	Fe2+	C14818	fe2		Fe
sbtabcomp387	Fecosterol	C04525	fecost		C28H46O
sbtabcomp388	Ferulate	C01494	fer		C10H10O4
sbtabcomp389	5'-Phosphoribosyl-N-formylglycinamide	C04376	fgam		C8H15N2O9P
sbtabcomp390	Ferricytochrome b5	C00996	ficytb5		
sbtabcomp391	Ferricytochrome c	C00125	ficytC		C42H44FeN8O8S2R4
sbtabcomp392	FMN	C00061	fmn		C17H21N4O9P
sbtabcomp393	Ferrocytochrome b5	C00999	focytb5		
sbtabcomp394	Ferrocytochrome c	C00126	focytC		C42H44FeN8O8S2R4
sbtabcomp395	Folate	C00504	fol		C19H19N7O6
sbtabcomp396	Formate	C00058	for		CH2O2
sbtabcomp397	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	C04640	fpram		C8H16N3O8P
sbtabcomp398	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	C04734	fprica		C10H15N4O9P
sbtabcomp399	trans,trans-Farnesyl diphosphate	C00448	frdp		C15H28O7P2
sbtabcomp400	D-Fructose	C00095	fru		C6H12O6
sbtabcomp401	beta-D-Fructose	C02336	fru_B		C6H12O6
sbtabcomp402	Fumarate	C00122	fum		C4H4O4
sbtabcomp403	D-Glucose 1-phosphate	C00103	g1p		C6H13O9P
sbtabcomp404	D-Glyceraldehyde 3-phosphate	C00118	g3p		C3H7O6P
sbtabcomp405	sn-Glycero-3-phosphocholine	C00670	g3pc		C8H21NO6P
sbtabcomp406	sn-Glycero-3-phosphoethanolamine	C01233	g3pe		C5H14NO6P
sbtabcomp407	D-Glucose 6-phosphate	C00092	g6p		C6H13O9P
sbtabcomp408	alpha-D-Glucose 6-phosphate	C00668	g6p_A		C6H13O9P
sbtabcomp409	beta-D-Glucose 6-phosphate	C01172	g6p_B		C6H13O9P
sbtabcomp410	D-Galactose	C00124	gal		C6H12O6
sbtabcomp411	beta-D-Galactose	C00962	gal_bD		C6H12O6
sbtabcomp412	alpha-D-Galactose 1-phosphate	C00446	gal1p		C6H13O9P
sbtabcomp413	Galactitol	C01697	galt		C6H14O6
sbtabcomp414	D-Glucosamine 6-phosphate	C00352	gam6p		C6H14NO8P
sbtabcomp415	5'-Phosphoribosylglycinamide	C03838	gar		C7H15N2O8P
sbtabcomp416	4-Trimethylammoniobutanoate	C01181	gbbtn,4tmeabutn		C7H16NO2
sbtabcomp417	Glycolaldehyde	C00266	gcald		C2H4O2
sbtabcomp418	gamma-Carotene	C05435	gcarote		C40H56
sbtabcomp419	GDP	C00035	gdp		C10H15N5O11P2
sbtabcomp420	GDP-mannose	C00096	gdpmann		C16H25N5O16P2
sbtabcomp421	Geranylgeranyl diphosphate	C00353	ggdp		C20H36O7P2
sbtabcomp422	D-Glucose	C00031	glc__D		C6H12O6
sbtabcomp423	alpha-D-Glucose	C00267	Glc_aD		C6H12O6
sbtabcomp424	D-Gluconic acid	C00257	glcn		C6H12O7
sbtabcomp425	D-Glucarate	C00818	glcr		C6H10O8
sbtabcomp426	D-Glucuronate	C00191	glcur		C6H10O7
sbtabcomp427	L-Glutamine	C00064	gln__L		C5H10N2O3
sbtabcomp428	Glutaminyl-tRNA	C02282	glntrna		C20H29N7O12PR(C5H8O6PR)n
sbtabcomp429	Glycylpeptide	C02038	glp		C2H5NO2(C2H2NOR)n
sbtabcomp430	L-Glutamate	C00025	glu__L		C5H9NO4
sbtabcomp431	L-Glutamyl 5-phosphate	C03287	glu5p		C5H10NO7P
sbtabcomp432	L-Glutamate 5-semialdehyde	C01165	glu5sa		C5H9NO3
sbtabcomp433	gamma-L-Glutamyl-L-cysteine	C00669	glucys		C8H14N2O5S
sbtabcomp434	Glutaryl-CoA	C00527	glutcoa		C26H42N7O19P3S
sbtabcomp435	L-Glutamyl-tRNA(Glu)	C02987	glutrna		C20H28N6O13PR(C5H8O6PR)n
sbtabcomp436	L-Glutamyl-tRNA(Gln)	C06112	glutrna_gln		C20H28N6O13PR(C5H8O6PR)n
sbtabcomp437	Glyoxylate	C00048	glx		C2H2O3
sbtabcomp438	Glycine	C00037	gly		C2H5NO2
sbtabcomp439	D-Glyceraldehyde	C00577	glyald		C3H6O3
sbtabcomp440	Betaine	C00719	glyb		C5H11NO2
sbtabcomp441	Glycerol	C00116	glyc		C3H8O3
sbtabcomp442	D-Glycerate	C00258	glyc__R		C3H6O4
sbtabcomp443	sn-Glycerol 3-phosphate	C00093	glyc3p		C3H9O6P
sbtabcomp444	Glycolate	C00160	glyclt		C2H4O3
sbtabcomp445	Glycyl-tRNA(Gly)	C02412	glytrna		C12H20NO11PR2(C5H8O6PR)n
sbtabcomp446	GMP	C00144	gmp		C10H14N5O8P
sbtabcomp447	P1,P4-Bis(5'-guanosyl) tetraphosphate	C01261	gp4g		C20H28N10O21P4
sbtabcomp448	6-(alpha-D-Glucosaminyl)-1-phosphatidyl-1D-myo-inositol	C04248	gpail_hs		C17H28NO17PR2
sbtabcomp449	Geranyl diphosphate	C00341	grdp		C10H20O7P2
sbtabcomp450	Glutathione disulfide	C00127	gthox		C20H32N6O12S2
sbtabcomp451	GTP	C00044	gtp		C10H16N5O14P3
sbtabcomp452	L-Gulono-1,4-lactone	C01040	gullac		C6H10O6
sbtabcomp453	H+	C00080	h		H
sbtabcomp454	H2O	C00001	h2o,oh1		H2O
sbtabcomp455	Hydrogen peroxide	C00027	h2o2		H2O2
sbtabcomp456	Hydrogen sulfide	C00283	h2s		H2S
sbtabcomp457	(Z)-But-1-ene-1,2,4-tricarboxylate	C04002	hacon_T,hacon_C		C7H8O6
sbtabcomp458	HCO3-	C00288	hco3		HCO3
sbtabcomp459	L-Homocysteine	C00155	hcys__L		C4H9NO2S
sbtabcomp460	Hexadecanoic acid	C00249	hdca		C16H32O2
sbtabcomp461	Hexanoyl-[acp]	C05749	hexACP		C6H11OSR
sbtabcomp462	all-trans-Hexaprenyl diphosphate	C01230	hexdp		C30H52O7P2
sbtabcomp463	Homoisocitrate	C05662	hicit		C7H10O7
sbtabcomp464	L-Histidine	C00135	his__L		C6H9N3O2
sbtabcomp465	L-Histidinol phosphate	C01100	hisp		C6H12N3O4P
sbtabcomp466	L-Histidinol	C00860	histd		C6H11N3O
sbtabcomp467	L-Histidyl-tRNA(His)	C02988	histrna		C16H24N3O11PR2(C5H8O6PR)n
sbtabcomp468	3-Hydroxy-L-kynurenine	C03227	hLkynr		C10H12N2O4
sbtabcomp469	Hydroxymethylbilane	C01024	hmbil		C40H46N4O17
sbtabcomp470	(S)-3-Hydroxy-3-methylglutaryl-CoA	C00356	hmgcoa		C27H44N7O20P3S
sbtabcomp471	(Hydroxymethylphenyl)succinyl-CoA	C09819	hmpscoa		C32H46N7O20P3S
sbtabcomp472	L-Homoserine	C00263	hom__L		C4H9NO3
sbtabcomp473	Tetrahydropteroyltri-L-glutamate	C04144	hpglu		C29H37N9O12
sbtabcomp474	Hydroxypyruvate	C00168	hpyr		C3H4O4
sbtabcomp475	Hydroquinone	C15603	hqn		
sbtabcomp476	sym-Homospermidine	C06366	hspmd		C8H21N3
sbtabcomp477	trans-Hex-2-enoyl-CoA	C05271	hx2coa		C27H44N7O17P3S
sbtabcomp478	Hypoxanthine	C00262	hxan		C5H4N4O
sbtabcomp479	Hexanoyl-CoA	C05270	hxcoa		C27H46N7O17P3S
sbtabcomp480	Hexadecanal	C00517	hxdcal		C16H32O
sbtabcomp481	Hypotaurine	C00519	hyptaur		C2H7NO2S
sbtabcomp482	(Indol-3-yl)acetamide	C02693	iad		C10H10N2O
sbtabcomp483	3-Methylbutanol	C07328	iamoh		C5H12O
sbtabcomp484	2-Methylpropanoyl-CoA	C00630	ibcoa		C25H42N7O17P3S
sbtabcomp485	Isobutyl alcohol	C14710	ibutoh		C4H10O
sbtabcomp486	Isocitrate	C00311	icit		C6H8O7
sbtabcomp487	Indole-3-acetaldehyde	C00637	id3acald		C10H9NO
sbtabcomp488	IDP	C00104	idp		C10H14N4O11P2
sbtabcomp489	L-Isoleucine	C00407	ile__L		C6H13NO2
sbtabcomp490	L-Isoleucyl-tRNA(Ile)	C03127	iletrna		C21H32N6O11PR(C5H8O6PR)n
sbtabcomp491	Imidazole-4-acetate	C02835	im4ac		C5H6N2O2
sbtabcomp492	Imidazole-4-acetaldehyde	C05130	im4act		C5H6N2O
sbtabcomp493	3-(Imidazol-4-yl)-2-oxopropyl phosphate	C01267	imacp		C6H9N2O5P
sbtabcomp494	IMP	C00130	imp		C10H13N4O8P
sbtabcomp495	Indole-3-acetate	C00954	ind3ac		C10H9NO2
sbtabcomp496	3-Indoleacetonitrile	C02938	ind3acnl		C10H8N2
sbtabcomp497	Indole	C00463	indole		C8H7N
sbtabcomp498	Indolepyruvate	C00331	indpyr		C11H9NO3
sbtabcomp499	myo-Inositol	C00137	inost		C6H12O6
sbtabcomp500	Inosine	C00294	ins		C10H12N4O5
sbtabcomp501	Isopentenyl diphosphate	C00129	ipdp		C5H12O7P2
sbtabcomp502	ITP	C00081	itp		C10H15N4O14P3
sbtabcomp503	3-Methylbutanoyl-CoA	C02939	ivcoa		C26H44N7O17P3S
sbtabcomp504	L-2-Aminoadipate	C00956	L2aadp		C6H11NO4
sbtabcomp505	L-2-Aminoadipate 6-semialdehyde	C04076	L2aadp6sa		C6H11NO3
sbtabcomp506	(R)-Lactate	C00256	lac__D		C3H6O3
sbtabcomp507	(S)-Lactate	C00186	lac__L		C3H6O3
sbtabcomp508	(R)-Lactaldehyde	C00937	lald__D		C3H6O2
sbtabcomp509	(S)-Lactaldehyde	C00424	lald__L		C3H6O2
sbtabcomp510	Lanosterol	C01724	lanost		C30H50O
sbtabcomp511	Lactose	C00243	lcts		C12H22O11
sbtabcomp512	L-Cysteate	C00506	Lcyst		C3H7NO5S
sbtabcomp513	L-Leucine	C00123	leu__L		C6H13NO2
sbtabcomp514	Leukotriene A4	C00909	leuktrA4		C20H30O3
sbtabcomp515	Leukotriene B4	C02165	leuktrB4		C20H32O4
sbtabcomp516	L-Leucyl-tRNA	C02047	leutrna		C21H32N6O11PR(C5H8O6PR)n
sbtabcomp517	L-Formylkynurenine	C02700	Lfmkynr		C11H12N2O4
sbtabcomp518	N-Formyl-D-kynurenine	C15605	LfmDkynr		C11H12N2O4
sbtabcomp519	(R)-S-Lactoylglutathione	C03451	lgt__S		C13H21N3O8S
sbtabcomp520	Lipoyl-AMP	C16238	lipoamp		C18H26N5O8PS2
sbtabcomp521	Kynurenine	C01718	kynr		C10H12N2O3
sbtabcomp522	L-Kynurenine	C00328	Lkynr		C10H12N2O3
sbtabcomp523	Linoleoyl-CoA	C02050	lnlccoa		C39H66N7O17P3S
sbtabcomp524	(9Z,12Z,15Z)-Octadecatrienoyl-CoA	C16162	lnlncacoa		C39H64N7O17P3S
sbtabcomp525	gamma-Linolenoyl-CoA	C03035	lnlncgcoa		C39H64N7O17P3S
sbtabcomp526	Lipoylprotein	C02051	lpro		C8H14NOS2R
sbtabcomp527	Lycopene	C05432	lycop		C40H56
sbtabcomp528	D-Lysine	C00739	lys__D		C6H14N2O2
sbtabcomp529	L-Lysine	C00047	lys__L		C6H14N2O2
sbtabcomp530	L-Lysyl-tRNA	C01931	lystrna		C16H29N2O11PR2(C5H8O6PR)n
sbtabcomp531	(alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C05864	m4macchitppdol		C66H114N2O42P2(C5H8)n
sbtabcomp532	beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol	C05860	macchitppdol		C42H74N2O22P2(C5H8)n
sbtabcomp533	(R)-Malate	C00497	mal__D		C4H6O5
sbtabcomp534	(S)-Malate	C00149	mal__L		C4H6O5
sbtabcomp535	Malonyl-[acyl-carrier protein]	C01209	malACP		C3H3O3SR
sbtabcomp536	Malonyl-CoA	C00083	malcoa		C24H38N7O19P3S
sbtabcomp537	Maltose	C00208	malt		C12H22O11
sbtabcomp538	Maltohexaose	C01936	malthx		C36H62O31
sbtabcomp539	Maltotriose	C01835	malttr		C18H32O16
sbtabcomp540	Maltotetraose	C02052	maltttr		C24H42O21
sbtabcomp541	D-Mannose	C00159	man		C6H12O6
sbtabcomp542	D-Mannose 1-phosphate	C00636	man1p		C6H13O9P
sbtabcomp543	D-Mannose 6-phosphate	C00275	man6p		C6H13O9P
sbtabcomp544	2-O-(6-Phospho-alpha-mannosyl)-D-glycerate	C16699	man6pglyc		C9H17O12P
sbtabcomp545	Melibiose	C05402	melib		C12H22O11
sbtabcomp546	24-Methylenecycloartanol	C08830	menecyart		C31H52O
sbtabcomp547	Methanol	C00132	meoh		CH4O
sbtabcomp548	Mercaptopyruvate	C00957	mercppyr		C3H4O3S
sbtabcomp549	L-Methionine	C00073	met__L		C5H11NO2S
sbtabcomp550	5,10-Methenyltetrahydrofolate	C00445	methf		C20H22N7O6
sbtabcomp551	L-Methionine (S)-S-oxide	C15999	metsox_S__L		C5H11NO3S
sbtabcomp552	L-Methionyl-tRNA	C02430	mettrna		C20H30N6O11PSR(C5H8O6PR)n
sbtabcomp553	(R)-Mevalonate	C00418	mev__R		C6H12O4
sbtabcomp554	5-Methyltetrahydropteroyltri-L-glutamate	C04489	mhpglu		C30H39N9O12
sbtabcomp555	1D-myo-Inositol 1,4-bisphosphate	C01220	mi14p		C6H14O12P2
sbtabcomp556	1D-myo-Inositol 3-phosphate	C04006	mi3p__D		C6H13O9P
sbtabcomp557	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate	C04593	micit		C7H10O7
sbtabcomp558	Phytic acid	C01204	minohp,ppmi1346p		C6H18O24P6
sbtabcomp559	5,10-Methylenetetrahydrofolate	C00143	mlthf		C20H23N7O6
sbtabcomp560	(S)-Methylmalonyl-CoA	C00683	mmcoa__S		C25H40N7O19P3S
sbtabcomp561	(S)-Methylmalonate semialdehyde	C06002	mmtsa		C4H6O3
sbtabcomp562	Mannitol	C00392	mnl		C6H14O6
sbtabcomp563	D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose	C05404	mnt		C18H32O16
sbtabcomp564	Molybdate	C06232	mobd		H2MoO4
sbtabcomp565	Adenylated molybdopterin	C19848	mptamp		C20H26N10O12P2S2
sbtabcomp566	3-Oxopropanoate	C00222	msa		C3H4O3
sbtabcomp567	Methylglyoxal	C00546	mthgxl		C3H4O2
sbtabcomp568	Tetradecanoyl-[acp]	C05761	myrsACP		C14H27OSR
sbtabcomp569	N1-Acetylspermidine	C00612	N1aspmd		C9H21N3O
sbtabcomp570	N1-Acetylspermine	C02567	N1sprm		C12H28N4O
sbtabcomp571	N4-Acetylaminobutanal	C05936	n4abutn		C6H11NO2
sbtabcomp572	Nicotinate	C00253	nac		C6H5NO2
sbtabcomp573	N-Acetylserotonin	C00978	Nacsertn		C12H14N2O2
sbtabcomp574	NAD+	C00003	nad		C21H28N7O14P2
sbtabcomp575	NADH	C00004	nadh		C21H29N7O14P2
sbtabcomp576	NADP+	C00006	nadp		C21H29N7O17P3
sbtabcomp577	NADPH	C00005	nadph		C21H30N7O17P3
sbtabcomp578	Nicotinamide	C00153	ncam		C6H6N2O
sbtabcomp579	Protein N6,N6-dimethyl-L-lysine	C05545	Ndmelys		C9H17N3O2R2
sbtabcomp580	all-trans-Neurosporene	C05431	neuspn		C40H58
sbtabcomp581	NH4+	C01342	AmnIon		NH4
sbtabcomp582	Ammonia	C00014	nh3		NH3
sbtabcomp583	Nicotinate D-ribonucleotide	C01185	nicrnt		C11H15NO9P
sbtabcomp584	Histone N6-methyl-L-lysine	C03702	Nmelys		C8H15N3O2R2
sbtabcomp585	Nicotinamide D-ribonucleotide	C00455	nmn		C11H15N2O8P
sbtabcomp586	Cyclohexanone	C00414	cclhxnn		C6H10O
sbtabcomp587	Hexano-6-lactone	C01880	hxn6lac		C6H10O2
sbtabcomp588	Squalene 2,3-oxide	C01054	sql23ox		C30H50O
sbtabcomp589	Monodehydroascorbate	C01041	mdhascb		C6H7O6
sbtabcomp590	Eicosanoyl-CoA	C02041	eiccoa		C41H74N7O17P3S
sbtabcomp591	D-Arabinofuranose	C21067	arab__D		C5H10O5
sbtabcomp592	D-Arabinono-1,4-lactone	C00652	Dara14lac		C5H8O5
sbtabcomp593	D-threo-Aldose	C02143	Dthrald		C5H9O5R
sbtabcomp594	D-threo-Aldono-1,5-lactone	C16581	Dthrald15lac		C5H7O5R
sbtabcomp595	Feruloyl-polysaccharide	C06741	ferulps		
sbtabcomp596	Glycan	C00420	glycn		C12H22O11(C6H10O5)n
sbtabcomp597	Ergosta-5,7,22,24(28)-tetraen-3beta-ol	C05440	ergtetrol		C28H42O
sbtabcomp598	D-galacto-Hexodialdose	C03269	Dgalhxdald		C6H10O6
sbtabcomp599	a cis-2-enoyl-CoA	C05056	cis2coa		
sbtabcomp600	Dinitrochlorobenzene	C14397	dnchlobz		C6H3ClN2O4
sbtabcomp601	S-(2,4-Dinitrophenyl)glutathione	C11175	S24dnphgth		C16H19N5O10S
sbtabcomp602	Dolichyl diphosphooligosaccharide	C04213	Dchyldppsac		C36H63N2O17P2R(C5H8)n
sbtabcomp603	Cyclopentanone	C00557	cpent		C5H8O
sbtabcomp604	5-Valerolactone	C02240	vall		C5H8O2
sbtabcomp605	Maltoheptaose		malthep	G00689	
sbtabcomp606	Alpha-Maltose	C00897	Amalt		C12H22O11
sbtabcomp607	3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA	C05450	3A7A12A24tBccoa		C48H80N7O21P3S
sbtabcomp608	n-Alkanal	C15596	alkal		
sbtabcomp609	Alk-2-enal	C15597	alk2enal		
sbtabcomp610	L-xylo-Hexulonolactone	C03289	Lxhlac		C6H8O6
sbtabcomp611	Sphingomyelin	C00550	sphmyln		C24H49N2O6PR
sbtabcomp612	5-Aminopentanal	C12455	aptal		C5H11NO
sbtabcomp613	RCH2NH2	C00375	Rch2nh2		CH4NR
sbtabcomp614	3-Oxostearoyl-[acp]	C16219	3oxacp		C18H33O2SR
sbtabcomp615	Canaline	C08270	cnln		C4H10N2O3
sbtabcomp616	Alpha-D-Mannoside	C02603	aDmand		C6H11O6R
sbtabcomp617	Nitrile	C00726	rCN		CNR
sbtabcomp618	D-Tryptophan	C00525	trp__D		C11H12N2O2
sbtabcomp619	Tetracosenoyl-CoA	C16532	tcoscoa		C45H80N7O17P3S
sbtabcomp620	Gluconolactone	C00198	glac		C6H10O6
sbtabcomp621	(R)-6-Hydroxynicotine	C03043	R6hnct		C10H14N2O
sbtabcomp622	6-Hydroxypseudooxynicotine	C01297	6hpsenct		C10H14N2O2
sbtabcomp623	1-Palmitoylglycerol 3-phosphate	C04036	1plg3p		C19H39O7P
sbtabcomp624	Phospholipid olefinic fatty acid	C01229	ppolefa		C14H22O8PR3
sbtabcomp625	Phospholipid cyclopropane fatty acid	C04340	ppcfa		C15H24O8PR3
sbtabcomp626	trans-1,2-Dihydrobenzene-1,2-diol	C04221	t12dhbz12ol		C6H8O2
sbtabcomp627	3-Oxo-5alpha-steroid	C02940	3ox5ast		C19H30O
sbtabcomp628	3-Oxo-delta4-steroid	C00619	3oxD4st		C19H28O
sbtabcomp629	D-threo-Isocitric acid	C00451	Dthrcit		C6H8O7
sbtabcomp630	5alpha-Dihydroprogesterone	C03681	5aDhdropgst		C21H32O2
sbtabcomp631	4,5alpha-Dihydrocortisone	C03588	45Adhcort		C21H30O5
sbtabcomp632	L-Iditol	C01507	iditol__L		C6H14O6
sbtabcomp633	4alpha-Methylzymosterol-4-carboxylate	C15808	4Amzol4c		C29H46O3
sbtabcomp634	5alpha-Cholestan-3-one	C03238	5Ac3one		C27H46O
sbtabcomp635	Cholestenone	C00599	chone		C27H44O
sbtabcomp636	3-Hydroxykynurenine	C02794	3hxkine		C10H12N2O4
sbtabcomp637	4alpha-Methylcholesta-8-en-3beta-ol	C05110	4Amch83Bol		C28H48O
sbtabcomp638	Myosin light chain phosphate	C03875	myolcp		C4H7N2O6PR2
sbtabcomp639	Myosin light chain	C01003	myolc		C4H6N2O3R2
sbtabcomp640	4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol	C15915	44dm5ac83bol		C29H50O
sbtabcomp641	D-myo-Inositol 1,2-cyclic phosphate	C04299	mi12cp__D		C6H11O8P
sbtabcomp642	Ketone	C01450	ktn		COR2
sbtabcomp643	Secondary alcohol	C01612	secalc		CH2OR2
sbtabcomp644	1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate	C11556	pail35p		C11H19O19P3R2
sbtabcomp645	Phosphatidylinositol-3,4,5-trisphosphate	C05981	pail345p		C11H20O22P4R2
sbtabcomp646	1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate	C11554	pail34p		C11H19O19P3R2
sbtabcomp647	15,9'-dicis-Phytofluene	C19765	159dcphyotf		C40H62
sbtabcomp648	Plastoquinone	C02061	pq		C8H8O2(C5H8)n
sbtabcomp649	9,15,9'-tricis-zeta-Carotene	C19764	9159tzcarote		C40H60
sbtabcomp650	Plastoquinol-1	C02185	pqh2		C13H18O2
sbtabcomp651	4alpha-Methyl-5alpha-cholest-7-en-3-one	C04453	4am4achol7en3n		C28H46O
sbtabcomp652	sn-Glycerol 1-phosphate	C00623	glyc1p		C3H9O6P
sbtabcomp653	Hydroxyhydroquinone	C02814	hhqn		C6H6O3
sbtabcomp654	Maleylacetate	C02222	mac		C6H6O5
sbtabcomp655	Benzoylsuccinyl-CoA	C09820	bzosuccoa		C32H44N7O20P3S
sbtabcomp656	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid	C06428	ipcoac		C20H30O2
sbtabcomp657	alpha-N-Acetyl-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosylproteoglycan	C15656	Tqkv35VT		C35H55N3O28R2
sbtabcomp658	(E)-2-(Methoxycarbonylmethyl)butenedioate	C11515	9h5fLOvZ		C7H8O6
sbtabcomp659	D-Galacturonolactone	C06430	galurlac__D		C6H8O6
sbtabcomp660	L-Glyceraldehyde	C02426	glyald__L		C3H6O3
sbtabcomp661	Retinyl palmitate	C02588	retpalm		C36H60O2
sbtabcomp662	Methyl salicylate	C12305	metsalc		C8H8O3
sbtabcomp663	Ester	C02391	est		CO2R2
sbtabcomp664	alpha-D-Galactosyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-R	C04855	b4mQJEdL		C20H34NO16R
sbtabcomp665	DMSP	C04022	DMSP		C5H10O2S
sbtabcomp666	2-Propynal	C05985	2ppnal		C3H2O
sbtabcomp667	Propynoate	C00804	ppn		C3H2O2
