IdentifierInModel	OriginalBiGGIdentifier	MetaboliteName	CreatedOrFixedBiGGIdentifier	RandomIdentifierPerlBoolean
C02100	NO_BiGG	(5')ppPur-mRNA; 5'-Diphospho-[mRNA]	2bLhvDIM	TRUE
C05167	NO_BiGG	alpha-Amino acid	UoRSA7Fb	TRUE
C00685	NO_BiGG	3-Oxoacyl-[acyl-carrier protein]	e3MWwGWl	TRUE
C15498	NO_BiGG	Hydroperoxide	6KLgXocR	TRUE
C01241	NO_BiGG	Phosphatidyl-N-methylethanolamine	Oj4teM8s	TRUE
C03635	NO_BiGG	Protein N-ubiquityllysine	cnmTkaoM	TRUE
C00201	NO_BiGG	NTP	NTP	FALSE
C04884	NO_BiGG	GM2	GM2	FALSE
C05381	NO_BiGG	Succinate semialdehyde-thiamin diphosphate	ssaltpp	FALSE
C02764	NO_BiGG	tRNA pseudouridine	FU9bbIcz	TRUE
C02128	NO_BiGG	DNA 5'-phosphate	dna5p	FALSE
C05421	NO_BiGG	Phytoene	phytoe	FALSE
C13378	NO_BiGG	alpha,beta-Dihydroxyethyl-TPP	7ruzGSgk	TRUE
C04737	NO_BiGG	Globotriosylceramide	mFRvdJHC	TRUE
C16636	NO_BiGG	tRNA(Sec)	gc6F8jMS	TRUE
C03641	NO_BiGG	Sterol 3-beta-D-glucoside	68R5sjeT	TRUE
C02318	NO_BiGG	R'C(R)S-S(R)CR'	ajne8pAs	TRUE
C15527	NO_BiGG	Precorrin 1	HSpPq7mS	TRUE
C00162	NO_BiGG	Fatty acid	fa	FALSE
C00718	NO_BiGG	Amylose	amylose	FALSE
C00605	NO_BiGG	Dehydroacyl-CoA	dhacoa	FALSE
C00965	13BDglcn	1,3-beta-D-Glucan	13BDglcn	FALSE
C20969	NO_BiGG	Carboxyphosphate	cp	FALSE
C07299	NO_BiGG	Cutin	cutin	FALSE
C14800	NO_BiGG	1-Nitronaphthalene-5,6-oxide	ZmdeAKo1	TRUE
C18237	NO_BiGG	Molybdoenzyme molybdenum cofactor	LlJuy3EC	TRUE
C01256	NO_BiGG	[Pyruvate dehydrogenase (acetyl-transferring)]	AqNzkw4o	TRUE
C12126	NO_BiGG	Dihydroceramide	iglplVkl	TRUE
C03103	NO_BiGG	Cyclobutadipyrimidine	RFuGkxt4	TRUE
C14804	NO_BiGG	1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene	XJgrNKax	TRUE
C04500	NO_BiGG	N-Acetyl-D-glucosaminyldiphosphodolichol	DFD3JF3a	TRUE
C04506	NO_BiGG	Protein C-terminal S-farnesyl-L-cysteine	EzWrG5Gp	TRUE
C16291	NO_BiGG	7,8-Dihydro-beta-carotene	jsypfrIK	TRUE
C00760	NO_BiGG	Cellulose	cell	FALSE
C17202	NO_BiGG	S-Palmitoylprotein; Protein S-palmitoyl-L-cysteine	G7umKWR7	TRUE
C01190	NO_BiGG	beta-D-Glucosyl-(1<->1)-ceramide; Glucosylceramide; Glucocerebroside; D-Glucosyl-N-acylsphingosine	XRXGf2r2	TRUE
C00416	NO_BiGG	Phosphatidate; Phosphatidic acid; 1,2-Diacyl-sn-glycerol 3-phosphate; 3-sn-Phosphatidate	D5N1PXbo	TRUE
C00900	NO_BiGG	2-Acetolactate	u2pWbqu2	TRUE
C04840	NO_BiGG	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate	9WxnOs7P	TRUE
C16720	NO_BiGG	Peptide 2-[3-carboxy-3-(dimethylammonio)propyl]-L-histidine	1M5686ur	TRUE
C00350	pe_cho	Phosphatidylethanolamine	pe_cho	FALSE
C00161	NO_BiGG	2-Oxocarboxylate	GfWBDWDU	TRUE
C04432	NO_BiGG	tRNA containing 6-isopentenyladenosine	pkCuAwNL	TRUE
C04145	NO_BiGG	Solanesyl pyrophosphate	CAxUHBti	TRUE
C02352	NO_BiGG	1,4-beta-D-Xylan	14bxyl	FALSE
C11823	NO_BiGG	2,3-Ene acid	FvjpATIa	TRUE
C03895	NO_BiGG	Peptide-L-methionine (S)-S-oxide	OrYgLPqX	TRUE
C05320	NO_BiGG	Histone-N(omega)-methylarginine	94cm6GKu	TRUE
C16669	NO_BiGG	Oligonucleotide 5'-diphosphate	cUBlmMkw	TRUE
C04899	NO_BiGG	(S)-NADPH-hydrate	ICNHtYBk	TRUE
C04311	NO_BiGG	Protein L-isoaspartate methyl ester	D1rCosZC	TRUE
C04570	NO_BiGG	Reduced electron-transferring flavoprotein	DxqnVYIy	TRUE
C04530	NO_BiGG	4,4-Dimethylcholest-7-ene-3-ol	wBNy5x1W	TRUE
C01277	NO_BiGG	Phosphatidylinositol 4-phosphate	QIdcVAW7	TRUE
C02474	NO_BiGG	Arabinan	arabinan	FALSE
C00665	NO_BiGG	beta-D-Fructose 2,6-bisphosphate	UdRzYKnr	TRUE
C00017	NO_BiGG	Protein	yUUk9uEc	TRUE
C05922	NO_BiGG	Formamidopyrimidine nucleoside triphosphate	hZmZ2oeO	TRUE
C04814	NO_BiGG	4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol	pmtBE3E1	TRUE
C00658	NO_BiGG	trans-2-Enoyl-CoA	ZjYI7xHK	TRUE
C15653	NO_BiGG	Peptide-L-methionine (R)-S-oxide	VS2orAUZ	TRUE
C01977	NO_BiGG	tRNA guanine	D99xwcSP	TRUE
C08249	NO_BiGG	Pyrimidine 5'-deoxynucleotide	Oq9MaNYn	TRUE
C00369	NO_BiGG	Glycogen	glycogen	FALSE
C05993	HC01672	Acetyl adenylate	HC01672	FALSE
C05803	NO_BiGG	2-Hexaprenyl-6-methoxy-1,4-benzoquinone	IGzkzwEk	TRUE
C05403	HC01446	3-Ketolactose	HC01446	FALSE
C04911	NO_BiGG	GM1	GM1	FALSE
C04537	NO_BiGG	Chitobiosyldiphosphodolichol	chito	FALSE
C00221	glc__bD	beta-D-Glucose	glc__bD	FALSE
C01167	NO_BiGG	Protein tyrosine phosphate	ptp	FALSE
C04549	NO_BiGG	1-Phosphatidyl-1D-myo-inositol 3-phosphate	JD2Q4Xi8	TRUE
C00390	qh2	Ubiquinol	qh2	FALSE
C03157	NO_BiGG	O-Phospho-tau-protein	7xd6HkjC	TRUE
C02863	NO_BiGG	O-D-Mannosylprotein	Rr2Q5axL	TRUE
C14792	NO_BiGG	(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	fu76O8AL	TRUE
C05848	NO_BiGG	4-Hydroxy-3-polyprenylbenzoate	QFo5Dyxg	TRUE
C03620	NO_BiGG	Monocarboxylic acid amide	w4j8n1xf	TRUE
C03880	NO_BiGG	N-Substituted aminoacyl-tRNA	awobsEOh	TRUE
C15812	NO_BiGG	[Enzyme]-S-sulfanylcysteine	1AK8Ro4p	TRUE
C00165	NO_BiGG	Diglyceride	dag_cho	FALSE
C02743	NO_BiGG	Protein L-cysteine	pcys	FALSE
C15496	NO_BiGG	Oxidized thiol-containing reductant	OfEmeXnM	TRUE
C00677	NO_BiGG	Deoxynucleoside triphosphate	W2xmfZ1f	TRUE
C06148	NO_BiGG	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	ajdrLGcp	TRUE
C05309	NO_BiGG	Semiquinone	sqn	FALSE
C03306	NO_BiGG	Protein L-isoaspartate	3VXUo49Y	TRUE
C00269	NO_BiGG	CDP-diacylglycerol	lVzR6flA	TRUE
C17551	NO_BiGG	3-Polyprenylcatechol	BNgo8oFR	TRUE
C01194	NO_BiGG	1-Phosphatidyl-D-myo-inositol	68R7NHQQ	TRUE
C20482	NO_BiGG	(R)-NADH-hydrate	Ex3yt95N	TRUE
C01573	NO_BiGG	Peptide diphthine	e2ykfabN	TRUE
C01168	psd5p	Pseudouridine 5'-phosphate	psd5p	FALSE
C00984	NO_BiGG	alpha-D-Galactose	aDgal	FALSE
C03998	NO_BiGG	N7-Methyl-GMP	N7metGMP	FALSE
C03885	NO_BiGG	3-Nonaprenyl-4-hydroxybenzoate	y2fIrSCM	TRUE
C03523	NO_BiGG	N-Substituted amino acid	ZRK4U9fm	TRUE
C06254	NO_BiGG	Lysophospholipid	8yInHVeB	TRUE
C00562	NO_BiGG	Phosphoprotein	lkAMbGxP	TRUE
C04090	NO_BiGG	Ubiquitin C-terminal thiolester	soflBSFC	TRUE
C05544	NO_BiGG	Protein N6-methyl-L-lysine	N6metLlys	FALSE
C06135	NO_BiGG	GA2	ga2_cho	FALSE
C15522	NO_BiGG	4a-Hydroxytetrahydrobiopterin	9MjTwb6t	TRUE
C00714	NO_BiGG	Pectin	pect	FALSE
C05206	NO_BiGG	Histone-arginine	histarg	FALSE
C00868	NO_BiGG	Uracil in tRNA	BI65umzK	TRUE
C00117	NO_BiGG	Ribose 5-phosphate	r5p	FALSE
C04637	NO_BiGG	Phosphatidylinositol-4,5-bisphosphate	XWaFPlpp	TRUE
C17560	NO_BiGG	2-Polyprenyl-6-methoxy-1,4-benzoquinone	WxtQnMdp	TRUE
C04157	NO_BiGG	N1-Methylguanine in tRNA	aHm5TLDa	TRUE
C00051	NO_BiGG	Glutathione	gth	FALSE
C00865	NO_BiGG	Phospholipid	pplp	FALSE
C01929	NO_BiGG	L-Histidinal	histdal	FALSE
C14805	NO_BiGG	1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene	ANjRTRHY	TRUE
C00088	no2	blank_description	no2	FALSE
C00244	no3	blank_description	no3	FALSE
C00007	o2	blank_description	o2	FALSE
C00704	o2s	blank_description	o2s	FALSE
C00036	oaa	blank_description	oaa	FALSE
C05752	ocACP	blank_description	ocACP	FALSE
C00510	ocdce9coa	blank_description	ocdce9coa	FALSE
C04146	octdp	blank_description	octdp	FALSE
C00077	orn	blank_description	orn	FALSE
C00295	orot	blank_description	orot	FALSE
C01103	orot5p	blank_description	orot5p	FALSE
C05533	oxag	blank_description	oxag	FALSE
C07086	pac	blank_description	pac	FALSE
C02505	pad	blank_description	pad	FALSE
C00522	pant__R	blank_description	pant__R	FALSE
C00054	pap	blank_description	pap	FALSE
C00053	paps	blank_description	paps	FALSE
C00627	pdx5p	blank_description	pdx5p	FALSE
C00074	pep	blank_description	pep	FALSE
C00012	pepd	blank_description	pepd	FALSE
C02188	peplys	blank_description	peplys	FALSE
C00079	phe__L	blank_description	phe__L	FALSE
C00032	pheme	blank_description	pheme	FALSE
C03511	phetrna	blank_description	phetrna	FALSE
C01102	phom	blank_description	phom	FALSE
C00166	phpyr	blank_description	phpyr	FALSE
C00009	pi	blank_description	pi	FALSE
C00154	pmtcoa	blank_description	pmtcoa	FALSE
C00864	pnto__R	blank_description	pnto__R	FALSE
C00894	pp2coa	blank_description	pp2coa	FALSE
C00163	ppa	blank_description	ppa	FALSE
C00931	ppbng	blank_description	ppbng	FALSE
C00100	ppcoa	blank_description	ppcoa	FALSE
C00254	pphn	blank_description	pphn	FALSE
C00013	ppi	blank_description	ppi	FALSE
C02191	ppp9	blank_description	ppp9	FALSE
C01079	pppg9	blank_description	pppg9	FALSE
C03090	pram	blank_description	pram	FALSE
C04302	pran	blank_description	pran	FALSE
C02741	prbamp	blank_description	prbamp	FALSE
C02739	prbatp	blank_description	prbatp	FALSE
C03427	prephytedp	blank_description	prephytedp	FALSE
C04896	prfp	blank_description	prfp	FALSE
C04916	prlp	blank_description	prlp	FALSE
C00148	pro__L	blank_description	pro__L	FALSE
C02702	protrna	blank_description	protrna	FALSE
C00119	prpp	blank_description	prpp	FALSE
C01005	pser__L	blank_description	pser__L	FALSE
C03428	psqldp	blank_description	psqldp	FALSE
C04308	ptd2meeta_SC	blank_description	ptd2meeta_SC	FALSE
C00134	ptrc	blank_description	ptrc	FALSE
C00647	pyam5p	blank_description	pyam5p	FALSE
C00534	pydam	blank_description	pydam	FALSE
C00250	pydx	blank_description	pydx	FALSE
C00018	pydx5p	blank_description	pydx5p	FALSE
C00314	pydxn	blank_description	pydxn	FALSE
C00022	pyr	blank_description	pyr	FALSE
C03722	quln	blank_description	quln	FALSE
C00620	r1p	blank_description	r1p	FALSE
C00492	raffin	blank_description	raffin	FALSE
C00255	ribflv	blank_description	ribflv	FALSE
C00199	ru5p__D	blank_description	ru5p__D	FALSE
C06157	S_gtrdhdlp	blank_description	S_gtrdhdlp	FALSE
C00447	s17bp	blank_description	s17bp	FALSE
C05382	s7p	blank_description	s7p	FALSE
C00449	saccrp__L	blank_description	saccrp__L	FALSE
C05778	scl	blank_description	scl	FALSE
C00065	ser__L	blank_description	ser__L	FALSE
C02553	sertrna	blank_description	sertrna	FALSE
C06481	sertrna_sec	blank_description	sertrna_sec	FALSE
C01031	Sfglutth	blank_description	Sfglutth	FALSE
C00493	skm	blank_description	skm	FALSE
C03175	skm5p	blank_description	skm5p	FALSE
C00094	so3	blank_description	so3	FALSE
C00059	so4	blank_description	so4	FALSE
C00836	sphgn	blank_description	sphgn	FALSE
C00319	sphings	blank_description	sphings	FALSE
C06124	sphs1p	blank_description	sphs1p	FALSE
C00315	spmd	blank_description	spmd	FALSE
C00751	sql	blank_description	sql	FALSE
C00412	stcoa	blank_description	stcoa	FALSE
C01613	stys	blank_description	stys	FALSE
C00042	succ	blank_description	succ	FALSE
C00091	succoa	blank_description	succoa	FALSE
C00089	sucr	blank_description	sucr	FALSE
C01097	tag6p__D	blank_description	tag6p__D	FALSE
C03785	tagdp__D	blank_description	tagdp__D	FALSE
C02593	tdcoa	blank_description	tdcoa	FALSE
C05758	tddec2eACP	blank_description	tddec2eACP	FALSE
C05754	tdec2eACP	blank_description	tdec2eACP	FALSE
C03881	tglp	blank_description	tglp	FALSE
C05748	thex2eACP	blank_description	thex2eACP	FALSE
C00101	thf	blank_description	thf	FALSE
C00378	thm	blank_description	thm	FALSE
C01081	thmmp	blank_description	thmmp	FALSE
C00068	thmpp	blank_description	thmpp	FALSE
C03028	thmtp	blank_description	thmtp	FALSE
C00188	thr__L	blank_description	thr__L	FALSE
C02992	thrtrna	blank_description	thrtrna	FALSE
C05760	tmrs2eACP	blank_description	tmrs2eACP	FALSE
C05751	toct2eACP	blank_description	toct2eACP	FALSE
C05763	tpalm2eACP	blank_description	tpalm2eACP	FALSE
C00343	trdox	blank_description	trdox	FALSE
C00342	trdrd	blank_description	trdrd	FALSE
C01083	tre	blank_description	tre	FALSE
C00689	tre6p	blank_description	tre6p	FALSE
C01635	trnaala	blank_description	trnaala	FALSE
C01636	trnaarg	blank_description	trnaarg	FALSE
C01637	trnaasn	blank_description	trnaasn	FALSE
C01638	trnaasp	blank_description	trnaasp	FALSE
C01639	trnacys	blank_description	trnacys	FALSE
C01335	trnagln	blank_description	alcohol	FALSE
C01640	trnagln	blank_description	trnagln	FALSE
C00069	trnagln	blank_description	roh	FALSE
C01641	trnaglu	blank_description	trnaglu	FALSE
C01642	trnagly	blank_description	trnagly	FALSE
C01643	trnahis	blank_description	trnahis	FALSE
C01644	trnaile	blank_description	trnaile	FALSE
C01645	trnaleu	blank_description	trnaleu	FALSE
C01646	trnalys	blank_description	trnalys	FALSE
C01647	trnamet	blank_description	trnamet	FALSE
C01648	trnaphe	blank_description	trnaphe	FALSE
C01649	trnapro	blank_description	trnapro	FALSE
C01650	trnaser	blank_description	trnaser	FALSE
C01651	trnathr	blank_description	trnathr	FALSE
C01652	trnatrp	blank_description	trnatrp	FALSE
C00787	trnatyr	blank_description	trnatyr	FALSE
C01653	trnaval	blank_description	trnaval	FALSE
C00078	trp__L	blank_description	trp__L	FALSE
C03512	trptrna	blank_description	trptrna	FALSE
C00082	tyr__L	blank_description	tyr__L	FALSE
C02839	tyrtrna	blank_description	tyrtrna	FALSE
C00043	uacgam	blank_description	uacgam	FALSE
C00015	udp	blank_description	udp	FALSE
C00029	udpg	blank_description	udpg	FALSE
C00052	udpgal	blank_description	udpgal	FALSE
C00167	udpglcur	blank_description	udpglcur	FALSE
C00190	udpxyl	blank_description	udpxyl	FALSE
C00105	ump	blank_description	ump	FALSE
C01051	uppg3	blank_description	uppg3	FALSE
C00106	ura	blank_description	ura	FALSE
C00366	urate	blank_description	urate	FALSE
C00603	urdglyc	blank_description	urdglyc	FALSE
C00086	urea	blank_description	urea	FALSE
C00299	uri	blank_description	uri	FALSE
C00075	utp	blank_description	utp	FALSE
C00183	val__L	blank_description	val__L	FALSE
C02554	valtrna	blank_description	valtrna	FALSE
C00655	xmp	blank_description	xmp	FALSE
C00231	xu5p__D	blank_description	xu5p__D	FALSE
C00181	xyl__D	blank_description	xyl__D	FALSE
